76,919.5,327.5,177,164
86,919.5,341.5,136,137
96,891.5,327.5,151,151
106,878.5,327.5,150,164
116,864.5,327.5,178,178
126,864.5,341.5,178,191
136,850.5,327.5,192,192
146,864.5,341.5,164,178
156,864.5,327.5,181,179
166,864.5,327.5,178,219
176,850.5,314.5,182,205
186,850.5,327.5,192,192
196,848.5,298.5,183,222
206,813.5,314.5,229,246
216,850.5,300.5,192,191
226,850.5,284.5,190,248
236,862.5,315.5,209,193
246,837.5,327.5,232,205
256,823.5,327.5,219,233
266,854.5,314.5,174,205
276,1070.5,273.5,13,300
286,850.5,327.5,192,219
296,875.5,341.5,194,164
306,831.5,300.5,238,246
316,796.5,355.5,218,191
326,847.5,298.5,197,234
336,796.5,341.5,232,232
346,809.5,396.5,220,246
356,809.5,368.5,192,246
366,850.5,355.5,164,218
376,841.5,300.5,214,248
386,850.5,300.5,205,314
396,837.5,341.5,205,191
406,864.5,273.5,192,286
416,782.5,409.5,191,192
426,796.5,355.5,236,287
436,837.5,382.5,177,191
446,768.5,382.5,233,191
456,864.5,327.5,178,192
466,837.5,355.5,191,232
476,809.5,396.5,192,205
