85,796.5,479.5,165,164
95,796.5,479.5,165,191
105,796.5,479.5,192,219
115,783.5,492.5,191,192
125,741.5,520.5,206,219
135,796.5,479.5,192,191
145,769.5,492.5,205,219
155,796.5,479.5,192,205
165,796.5,479.5,178,205
175,714.5,520.5,219,260
185,741.5,506.5,233,247
195,741.5,561.5,165,178
205,796.5,492.5,178,192
215,741.5,547.5,192,219
225,796.5,479.5,165,191
235,783.5,465.5,164,233
245,728.5,506.5,205,233
255,714.5,506.5,329,356
265,719.5,465.5,242,288
275,687.5,465.5,274,315
285,714.5,479.5,288,315
295,700.5,547.5,206,219
305,741.5,492.5,233,233
315,755.5,479.5,233,232
325,769.5,479.5,205,246
335,769.5,479.5,205,246
345,687.5,506.5,260,247
355,741.5,520.5,192,233
365,755.5,492.5,206,233
375,714.5,492.5,247,274
385,714.5,547.5,192,206
395,714.5,479.5,274,260
405,728.5,547.5,192,206
415,728.5,588.5,150,151
425,728.5,479.5,233,274
435,714.5,506.5,206,247
445,741.5,479.5,206,274
455,728.5,533.5,205,220
465,728.5,506.5,205,205
475,714.5,602.5,178,151
485,728.5,465.5,248,274
495,741.5,574.5,151,165
