56,961.5,424.5,191,192
61,947.5,438.5,231,207
66,961.5,438.5,220,273
71,974.5,438.5,219,245
118,974.5,451.5,137,110
123,933.5,424.5,273,260
128,974.5,438.5,150,123
133,974.5,424.5,204,248
171,986.5,449.5,167,182
176,974.5,438.5,164,150
181,973.5,424.5,151,137
186,947.5,438.5,177,150
219,986.5,448.5,292,280
224,974.5,438.5,301,287
229,986.5,463.5,263,224
234,986.5,448.5,263,266
268,974.5,438.5,246,259
273,974.5,438.5,123,123
278,947.5,438.5,191,164
283,961.5,438.5,245,181
321,960.5,436.5,260,275
326,974.5,438.5,123,123
331,933.5,438.5,260,246
336,933.5,438.5,164,136
341,947.5,438.5,150,136
381,947.5,424.5,328,328
386,974.5,424.5,232,260
391,988.5,438.5,205,232
396,961.5,438.5,205,232
401,961.5,424.5,259,261
438,1000.5,448.5,208,224
443,974.5,438.5,217,234
448,974.5,438.5,204,248
453,687.5,479.5,300,232
458,974.5,451.5,204,123
